guid,date,title,desc,duration,category
22582509,2026-02-09,8.35am Sports News,Presented by Darren Frehill.,459,Sports
22582510,2026-02-09,Group of MPs urge UK government to formally name Stakeknife,"Tonia Antoniazzi, chair of the Northern Ireland Affairs Committee and Labour MP for Gower in Wales, discusses the recommendations in the committee’s report on identifying Stakeknife.",413,Politics / Gov
22582511,2026-02-09,Michelin Guide ceremony to take place in Dublin tonight,"Evelyn O'Rourke, Arts & Media Correspondent, discusses the Michelin Guide Britain and Ireland Awards, ahead of tonight's ceremony in Dublin.",229,Arts / Culture
22581915,2026-02-06,7.10am It Says In The Papers,Presented by John S. Doyle.,211,It Says in Papers
22581916,2026-02-06,"Flood, transport hazards with Orange alerts in effect","Mark Bowe, meteorologist with Met Éireann, highlights the various Status Orange and Yellow weather warnings. Reporter, Andrew Lowth is in Dublin; Jane Cregan, Irish Rail outlines the impact on rail services; Petula Martyn, Mid-West Correspondent reports on Waterford and Wexford; Laura Hogan, North East Correspondent, reports from Louth.",765,Sports
22581917,2026-02-06,What does future hold for small rural schools?,"Reporter, Sally-Ann Barrett visits two schools in the west of Ireland to find out how a declining population in the primary school-going age group is affecting communities there.",352,Other
22581918,2026-02-06,7.35am Sports News,Presented by Shane Dawson.,308,Sports
22581919,2026-02-06,Famous Tannery restaurant in Dungarvan closes after 30 years,"Máire Flynn and Paul Flynn, from the Tannery restaurant in Dungarvan, Co Waterford, discuss their decision to close after 30 years in business.",277,Other
22581920,2026-02-06,Hot Press celebrates 50th anniversary,"Evelyn O'Rourke, Arts & Media Correspondent, looks back at the history of Hot Press magazine as it celebrates fifty years in business.",255,Arts / Culture
22581921,2026-02-06,7.50am Business News,Presented by Adam Maguire.,268,Business
22581922,2026-02-06,Weather Forecast,Presented by Mark Bowe.,105,Weather
22581923,2026-02-06,8am News Bulletin,Presented by Susan Jackson.,305,News Bulletin
22581924,2026-02-06,8.10am It Says In The Papers,Presented by John S. Doyle.,258,It Says in Papers
